Instrument,IBSymbol,IBExchange,IBCurrency,IBMultiplier,priceMagnifier,IgnoreWeekly
SS-HOUS-DEV-FIN,HDFC,SGX,USD,10,1,FALSE
SS-HSBC-HLDS,5,HKFE,HKD,400,1,FALSE
SS-IBERDROLA,IBE,MEFFRV,EUR,100,1,FALSE
SS-IND-COMM-BK-OF-CHINA,1398,HKFE,HKD,1000,1,FALSE
SS-IND-DIS-TEXT,ITX,MEFFRV,EUR,103,1,FALSE
SS-INFOSYS,INFY,SGX,USD,20,1,FALSE
SS-JD-COM,9618,HKFE,HKD,500,1,FALSE
SS-KOTAK-BANK,KOTAKBANK,SGX,USD,10,1,FALSE
SS-LOREAL,OR,EUREX,EUR,100,1,FALSE
SS-MEITUAN-B,3690,HKFE,HKD,500,1,FALSE
SS-NETEASE,9999,HKFE,HKD,500,1,FALSE
SS-NONGFU,9633,HKFE,HKD,1000,1,FALSE
SS-OVERSEA-CH-BK,O39,SGX,SGD,2000,1,FALSE
SS-PING-AN-INSURANCE,2318,HKFE,HKD,500,1,FALSE
SS-POWER-ASSETS-HLDS,6,HKFE,HKD,500,1,FALSE
SS-RELIANCE,RELIANCE,SGX,USD,20,1,FALSE
SS-ROCHE,ROG,EUREX,CHF,100,1,FALSE
SS-SING-TEL,Z74,SGX,SGD,5000,1,FALSE
SS-SUN-HUNG-KAI,16,HKFE,HKD,1000,1,FALSE
SS-TATA,TCS,SGX,USD,10,1,FALSE
SS-TENCENT-HLDS,700,HKFE,HKD,100,1,FALSE
SS-THAI-BEV,Y92,SGX,SGD,10000,1,FALSE
SS-TOTAL-ENERGIES,TTE,EUREX,EUR,101.7313,1,FALSE
SS-UNICREDIT-SPA,UCG,ICEEU,EUR,1000,1,FALSE
SS-VW,VOW,EUREX,EUR,100,1,FALSE
SS-WHARF-HLDS,4,HKFE,HKD,1000,1,FALSE
SS-WUXI-BIOLOGICS,2269,HKFE,HKD,500,1,FALSE
SS-XIAOMI,1810,HKFE,HKD,1000,1,FALSE
SS-YES-BANK,YESBANK,SGX,USD,25,1,FALSE
SS-ZUR-INSR,ZURN,EUREX,CHF,10,1,FALSE
STEEL,HRC,COMEX,USD,20,1,FALSE
SUGAR_WHITE,W,ICEEUSOFT,USD,50,1,FALSE
SUGAR11,SB,NYBOT,USD,112000,100,FALSE
SUGAR16,SF,NYBOT,USD,112000,100,FALSE
SWISSLEAD,SLI,EUREX,CHF,10,1,FALSE
TECDAX,TDX,EUREX,EUR,10,1,FALSE
TECH60_small,STXSME,SMFE,USD,100,1,FALSE
THB,SGXTU,SGX,USD,1000000,1000,FALSE
TIN_LME,SNLME,LMEOTC,USD,5,1,TRUE
TOPIX,MNTPX,OSE.JPN,JPY,1000,1,FALSE
TOPIX_Large,TOPX,OSE.JPN,JPY,10000,1,FALSE
TOPIX30,TPXC30,OSE.JPN,JPY,1000,1,FALSE
TSE60,TSE60,CDE,CAD,200,1,FALSE
TSX,TSX,CDE,CAD,5,1,FALSE
TWD,TWD,SGX,USD,3000000,1000,FALSE
TWD-mini,TD,SGX,USD,1000000,10,FALSE
UMBS-20,20U,CBOT,USD,1000,1,FALSE
UMBS-25,25U,CBOT,USD,1000,1,FALSE
UMBS-30,30U,CBOT,USD,1000,1,FALSE
UMBS-35,35U,CBOT,USD,1000,1,FALSE
UMBS-40,40U,CBOT,USD,1000,1,FALSE
UMBS-45,45U,CBOT,USD,1000,1,FALSE
UMBS-50,50U,CBOT,USD,1000,1,FALSE
URANIUM,UX,COMEX,USD,250,1,FALSE
US-BIOTECH,SPSIBI,CME,USD,10,1,FALSE
US-DISCRETE,IXY,CME,USD,100,1,FALSE
US-ENERGY,IXE,CME,USD,100,1,FALSE
US-FINANCE,SIXM,CME,USD,250,1,FALSE
US-HEALTH,IXV,CME,USD,100,1,FALSE
US-INDUSTRY,IXI,CME,USD,100,1,FALSE
US-INSURE,SPSIINS,CME,USD,25,1,FALSE
US-MATERIAL,IXB,CME,USD,100,1,FALSE
US-OILGAS,SPSIOP,CME,USD,25,1,FALSE
US-PROPERTY,SIXRE,CME,USD,250,1,FALSE
US-REALESTATE,DJUSRE,CBOT,USD,100,1,FALSE
US-REGBANK,SPSIRBK,CME,USD,50,1,FALSE
US-RETAIL,SPSIRE,CME,USD,10,1,FALSE
US-SEMICONDUCTOR,SPSOX,CME,USD,25,1,FALSE
US-STAPLES,IXR,CME,USD,100,1,FALSE
US-TECH,SIXT,CME,USD,100,1,FALSE
US-UTILS,IXU,CME,USD,100,1,FALSE
US10,ZN,CBOT,NA,1000,1,FALSE
US10U,TN,CBOT,USD,1000,1,FALSE
US10Y_micro,10Y,CBOT,USD,1000,1,FALSE
US10Y_small,10YSME,SMFE,USD,100,1,FALSE
US2,ZT,CBOT,NA,2000,1,FALSE
US20,ZB,CBOT,USD,1000,1,FALSE
US20-new,TWE,CBOT,USD,1000,1,FALSE
US2Y_micro,2YY,CBOT,USD,1000,1,FALSE
US2Y_small,2YSME,SMFE,USD,100,1,FALSE
US3,Z3N,CBOT,USD,2000,1,FALSE
US30,UB,CBOT,USD,1000,1,FALSE
US30Y_micro,30Y,CBOT,USD,1000,1,FALSE
US30Y_small,30YSME,SMFE,USD,100,1,FALSE
US5,ZF,CBOT,NA,1000,1,FALSE
US5Y_micro,5YY,CBOT,USD,1000,1,FALSE
USD_small,FXSME,SMFE,USD,100,1,FALSE
USDCAD_micro,M6C,CME,CAD,10000,1,FALSE
USDCHF_micro,M6S,CME,CHF,10000,1,FALSE
USDCNH-CME,CNH,CME,CNH,100000,1,FALSE
USDCNH-HK,MCS,HKFE,CNH,20000,1,FALSE
USDCNH-SGX_mini,MUC,SGX,CNH,25000,1,FALSE
USDINR,USDINR,NSE,INR,1000,1,FALSE
USDKRW,KWY,KSE,KRW,10000,1,FALSE
USDMXP,DEUA,MEXDER,MXN,10000,1,FALSE
USIRS10,N1U,CBOT,USD,1000,1,FALSE
USIRS10_ICE,USP,ICEEU,USD,1000,1,FALSE
USIRS10ERIS,LIY,CBOT,USD,1000,1,FALSE
USIRS12ERIS,LII,CBOT,USD,1000,1,FALSE
USIRS15ERIS,LIL,CBOT,USD,1000,1,FALSE
USIRS2,T1U,CBOT,USD,1000,1,FALSE
USIRS2_ICE,USW,ICEEU,USD,1000,1,FALSE
USIRS20ERIS,LIO,CBOT,USD,1000,1,FALSE
USIRS2ERIS,LIT,CBOT,USD,1000,1,FALSE
USIRS30,B1U,CBOT,USD,1000,1,FALSE
USIRS3ERIS,LIC,CBOT,USD,1000,1,FALSE
USIRS4ERIS,LID,CBOT,USD,1000,1,FALSE
USIRS5,F1U,CBOT,USD,1000,1,FALSE
USIRS5_ICE,USO,ICEEU,USD,1000,1,FALSE
USIRS5ERIS,LIW,CBOT,USD,1000,1,FALSE
USIRS5ERIS_SOFR,YIW,CBOT,USD,1000,1,FALSE
USIRS7ERIS,LIB,CBOT,USD,1000,1,FALSE
V2X,V2TX,EUREX,NA,100,1,FALSE
VHANG,VHSI,HKFE,HKD,5000,1,FALSE
VIX,VIX,CFE,USD,1000,1,TRUE
VIX_mini,VXM,CFE,USD,100,1,TRUE
VNKI,NKVI,OSE.JPN,JPY,10000,1,FALSE
VOLQ,VOLQ,CME,USD,100,1,FALSE
WATER-CALI,NQH2O,CME,USD,10,1,FALSE
WHEAT,ZW,CBOT,NA,5000,100,FALSE
WHEAT_ICE,T,ICEEUSOFT,GBP,100,1,FALSE
WHEAT_mini,YW,CBOT,USD,1000,100,FALSE
WHEAT-ASX,WH,SNFE,AUD,20,1,FALSE
WHEY,DY,CME,USD,44000,100,FALSE
WTI_small,SMO,SMFE,USD,100,1,FALSE
YENEUR,RY,CME,JPY,125000,1,FALSE
YENEUR-ICE,EJ,ICEUS,JPY,125000,1,FALSE
ZAR,ZAR,CME,USD,500000,1,FALSE
ZINC_LME,ZSLME,LMEOTC,USD,25,1,TRUE
